Kernel; Reference; COLi;

blurxy ; 0.000025 ; 0.930073 ; 
blurxy ; 0.000021 ; 0.957110 ; 
blurxy ; 0.000029 ; 0.921999 ; 
blurxy ; 0.000021 ; 1.018947 ; 
blurxy ; 0.000022 ; 1.374032 ; 
blurxy ; 0.000023 ; 1.013294 ; 
blurxy ; 0.000022 ; 1.038890 ; 
blurxy ; 0.000022 ; 0.974168 ; 
blurxy ; 0.000025 ; 0.888088 ; 
blurxy ; 0.000022 ; 0.935590 ; 
blurxy ; 0.000025 ; 1.012907 ; 
blurxy ; 0.000021 ; 0.987286 ; 
blurxy ; 0.000025 ; 1.028005 ; 
blurxy ; 0.000025 ; 0.916851 ; 
blurxy ; 0.000040 ; 1.004892 ; 
blurxy ; 0.000021 ; 0.969850 ; 
blurxy ; 0.000022 ; 0.931507 ; 
blurxy ; 0.000023 ; 0.926849 ; 
blurxy ; 0.000021 ; 0.976677 ; 
blurxy ; 0.000020 ; 0.913762 ; 
blurxy ; 0.000025 ; 0.921013 ; 
blurxy ; 0.000022 ; 1.101273 ; 
blurxy ; 0.000021 ; 0.898227 ; 
blurxy ; 0.000025 ; 0.959295 ; 
blurxy ; 0.000025 ; 1.015141 ; 
blurxy ; 0.000025 ; 0.998970 ; 
blurxy ; 0.000033 ; 1.011719 ; 
blurxy ; 0.000025 ; 1.051037 ; 
blurxy ; 0.000022 ; 1.010474 ; 
blurxy ; 4.432030 ;0.983321 ;
cvtcolor ; 0.000159 ;1.092633 ;
blurxy ; 4.073825 ;0.970610 ;
cvtcolor ; 0.000120 ;1.073480 ;
blurxy ; 3.672979 ;0.889665 ;
cvtcolor ; 0.000123 ;1.042394 ;
blurxy ; 3.898605 ;0.973920 ;
cvtcolor ; 0.000120 ;1.055182 ;
blurxy ; 3.805979 ;0.886386 ;
cvtcolor ; 1.655468 ;0.984961 ;
fusion ; 7.346345 ;5.279032 ;
fusion ; 6.786798 ;5.336963 ;
cvtcolor ; 1.782471 ;1.394948 ;
blurxy ; 4.443230 ;5.883408 ;
blurxy ; 3.942579 ;5.434838 ;
blurxy ; 3.938967 ;5.259439 ;
blurxy ; 4.007111 ;5.230121 ;
fusion ; 6.640899 ;4.968812 ;
cvtcolor ; 1.726933 ;1.297482 ;
filter2D ; 33.675427 ;32.400126 ;
filter2D ; 0.000022 ;31.313855 ;
filter2D ; 32.847838 ;31.170464 ;
gaussian ; 110.212349 ;108.461673 ;
gaussian ; 1.066365 ;112.029571 ;
gaussian ; 116.590394 ;142.384335 ;
gaussian ; 123.970153 ;140.186067 ;
blurxy ; 6.227629 ;12.825009 ;
blurxy ; 5.888676 ;12.706432 ;
blurxy ; 5.435999 ;12.433927 ;
blurxy ; 27.157655 ;13.481834 ;
gaussian ; 130.663086 ;147.363301 ;
recfilter ; 6.038527 ;9.648975 ;
recfilter ; 212.748661 ;54.774959 ;
blurxy ; 28.661673 ;58.366933 ;
blurxy ; 27.758313 ;13.061233 ;
blurxy ; 28.533253 ;3.428707 ;
blurxy ; 24.867718 ;7.188009 ;
blurxy ; 28.164817 ;3.308538 ;
filter2D ; 33.435148 ;30.754454 ;
filter2D ; 33.061646 ;6.207882 ;
fusion ; 7.053566 ;4.858849 ;
fusion ; 7.101725 ;2.999343 ;
recfilter ; 178.281352 ;39.632454 ;
recfilter ; 184.358238 ;37.793129 ;
heat2d ; 7.259931 ;4.041705 ;
heat2d ; 7.180860 ;2.830432 ;
heat2d ; 3.207893 ;3.344016 ;
divergence2d ; 3.027005 ;2.659871 ;
divergence2d ; 81.234131 ;81.734729 ;
heat2d ; 81.286729 ;85.045302 ;
heat2d ; 78.498414 ;87.461071 ;
heat2d ; 79.077258 ;80.123440 ;
heat2d ; 79.044876 ;79.849069 ;
